href,img,title,price
https://btown-b-merch.printify.me/product/25588054/long-sleeve-zebra-mussel-t-shirt,https://images-api.printify.com/mockup/693bde2ebacbed8a380558c3/98804/108630/long-sleeve-zebra-mussel-t-shirt.jpg?camera_label=front&revision=1765534677845&s=400,Long Sleeve Zebra Mussel T-Shirt,$36.45
https://btown-b-merch.printify.me/product/25588053/long-sleeve-sturgeon-t-shirt,https://images-api.printify.com/mockup/693bde7308cea7091a0f4a23/98839/108630/long-sleeve-sturgeon-t-shirt.jpg?camera_label=front&revision=1765534677639&s=400,Long Sleeve Sturgeon T-Shirt,$36.45
https://btown-b-merch.printify.me/product/25588052/long-sleeve-one-rats-nest-t-shirt,https://images-api.printify.com/mockup/693bddd5c89068561a00f99b/98804/108630/long-sleeve-one-rats-nest-t-shirt.jpg?camera_label=front&revision=1765534677581&s=400,Long Sleeve O.N.E. Rat's Nest T-Shirt,$36.45
https://btown-b-merch.printify.me/product/25588051/long-sleeve-grade-a-twist-t-shirt,https://images-api.printify.com/mockup/693bdd8c957e699c39033405/98839/108630/long-sleeve-grade-a-twist-t-shirt.jpg?camera_label=front&revision=1765534677319&s=400,Long Sleeve Grade A Twist T-shirt,$36.45
https://btown-b-merch.printify.me/product/25588048/long-sleeve-btown-brief-logo-t-shirt,https://images-api.printify.com/mockup/693be05eb7e514127d091df8/98804/108630/long-sleeve-btown-brief-logo-t-shirt.jpg?camera_label=front&revision=1765534672059&s=400,Long Sleeve Btown Brief logo T-Shirt,$36.45
https://btown-b-merch.printify.me/product/25588047/long-sleeve-breakwater-lighthouse-t-shirt,https://images-api.printify.com/mockup/693be0a908cea7091a0f4ac7/98849/108630/long-sleeve-breakwater-lighthouse-t-shirt.jpg?camera_label=front&revision=1765534671752&s=400,Long Sleeve Breakwater Lighthouse T-Shirt,$36.45
https://btown-b-merch.printify.me/product/25588046/long-sleeve-champus-fossil-t-shirt,https://images-api.printify.com/mockup/693be0e8c89068561a00fa7e/98754/108630/long-sleeve-champus-fossil-t-shirt.jpg?camera_label=front&revision=1765534671861&s=400,Long Sleeve Champus Fossil T-shirt,$36.45
https://btown-b-merch.printify.me/product/25588045/back-print-long-sleeve-sunset-and-amp-mountains-t-shirt,https://images-api.printify.com/mockup/693be23008cea7091a0f4b49/98764/108630/back-print-long-sleeve-sunset-mountains-t-shirt.jpg?camera_label=front&revision=1765534671725&s=400,BACK PRINT Long Sleeve Sunset & Mountains T-Shirt,$36.45
https://btown-b-merch.printify.me/product/25588044/back-print-long-sleeve-burlington-gray-print-t-shirt,https://images-api.printify.com/mockup/693be236f77c83551b07ec8b/98754/108630/back-print-long-sleeve-burlington-gray-print-t-shirt.jpg?camera_label=front&revision=1765534671521&s=400,BACK PRINT Long Sleeve Burlington Gray Print T-Shirt,$36.45
https://btown-b-merch.printify.me/product/25588041/back-print-long-sleeve-filing-cabinet-t-shirt,https://images-api.printify.com/mockup/693be22df77c83551b07ec8a/98849/108630/back-print-long-sleeve-filing-cabinet-t-shirt.jpg?camera_label=front&revision=1765534671356&s=400,BACK PRINT Long Sleeve Filing Cabinet T-Shirt,$36.45
https://btown-b-merch.printify.me/product/25588040/back-print-long-sleeve-grid-of-btv,https://images-api.printify.com/mockup/693be22808cea7091a0f4b47/98849/108630/back-print-long-sleeve-grid-of-btv.jpg?camera_label=front&revision=1765534671422&s=400,BACK PRINT Long Sleeve Grid of BTV,$36.45
https://btown-b-merch.printify.me/product/25588039/back-print-long-sleeve-church-and-amp-cherry-st-bike-graphic-tee,https://images-api.printify.com/mockup/693be20dc89068561a00faf1/98759/108630/back-print-long-sleeve-church-cherry-st-bike-graphic-tee.jpg?camera_label=front&revision=1765534671086&s=400,BACK PRINT Long Sleeve Church & Cherry St Bike Graphic Tee,$36.45
https://btown-b-merch.printify.me/product/25588038/back-print-long-sleeve-university-of-the-pit-t-shirt,https://images-api.printify.com/mockup/693be1fec89068561a00faec/98849/108630/back-print-long-sleeve-university-of-the-pit-t-shirt.jpg?camera_label=front&revision=1765534670745&s=400,BACK PRINT Long Sleeve University of the Pit T-shirt,$36.45
https://btown-b-merch.printify.me/product/25588094/burlington-gray-t-shirt-embroidered,https://images-api.printify.com/mockup/693b6fa1c89068561a00dbab/78893/98445/burlington-gray-t-shirt-embroidered.jpg?camera_label=front&revision=1765534764972&s=400,Burlington Gray T-Shirt | Embroidered,$38.22
